id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
2885,Neptune-like,2021,7.38 Earths,0.234 x Jupiter,0.2107 AU,37.9 days,0.0,
2886,Super Earth,2014,2.36 Earths,1.34 x Earth,0.087 AU,9.9 days,0.0,
2887,Super Earth,2014,4.12 Earths,1.86 x Earth,0.128 AU,17.7 days,0.0,
2888,Neptune-like,2016,5.82 Earths,0.203 x Jupiter,0.0599 AU,5.9 days,0.0,
2889,Neptune-like,2021,9.03 Earths,0.264 x Jupiter,0.2043 AU,30.3 days,0.0,
2890,Neptune-like,2021,8.72 Earths,0.258 x Jupiter,0.1557 AU,20 days,0.0,
2891,Neptune-like,2021,5.86 Earths,0.204 x Jupiter,0.1077 AU,13.2 days,0.0,
2892,Super Earth,2021,4.5 Earths,1.96 x Earth,0.2846 AU,52.6 days,0.0,
2893,Neptune-like,2021,7.53 Earths,0.237 x Jupiter,0.1216 AU,15.3 days,0.0,
2894,Neptune-like,2021,9.28 Earths,0.268 x Jupiter,0.2588 AU,46.7 days,0.0,
2895,Neptune-like,2021,5.97 Earths,0.207 x Jupiter,0.2197 AU,42.9 days,0.0,
2896,Neptune-like,2021,11.5 Earths,0.304 x Jupiter,0.3859 AU,73.8 days,0.0,
2897,Neptune-like,2021,5.25 Earths,2.146 x Earth,0.1409 AU,19.6 days,0.0,
2898,Neptune-like,2021,9.65 Earths,0.274 x Jupiter,0.2987 AU,59.4 days,0.0,
2899,Neptune-like,2014,7.95 Earths,0.244 x Jupiter,0.09 AU,9.9 days,0.0,
2900,Neptune-like,2014,8.2 Earths,0.249 x Jupiter,0.15 AU,21.2 days,0.0,
2901,Super Earth,2016,1.04 Earths,1.02 x Earth,0.0668 AU,6.5 days,0.0,
2902,Super Earth,2021,2.95 Earths,1.53 x Earth,0.1025 AU,13 days,0.0,
2903,Neptune-like,2021,7.53 Earths,0.237 x Jupiter,0.2356 AU,38.6 days,0.0,
2904,Super Earth,2021,2.91 Earths,1.515 x Earth,0.0123 AU,0.5 days,0.0,
2905,Super Earth,2021,1.76 Earths,1.18 x Earth,0.0561 AU,4.9 days,0.0,
2906,Terrestrial,2021,0.702 Earths,0.913 x Earth,0.0245 AU,1.4 days,0.0,
2907,Neptune-like,2021,6.82 Earths,0.223 x Jupiter,0.0463 AU,4 days,0.0,
2908,Neptune-like,2021,10.2 Earths,0.282 x Jupiter,0.5548 AU,126.6 days,0.0,
2909,Neptune-like,2021,9.39 Earths,0.27 x Jupiter,0.0943 AU,9.7 days,0.0,
2910,Super Earth,2021,4 Earths,1.828 x Earth,0.0938 AU,13.1 days,0.0,
2911,Super Earth,2021,1.68 Earths,1.165 x Earth,0.0334 AU,2.8 days,0.0,
2912,Neptune-like,2014,6.3 Earths,0.213 x Jupiter,0.106 AU,11.4 days,0.0,
2913,Neptune-like,2014,8 Earths,0.245 x Jupiter,0.286 AU,50.7 days,0.0,
2914,Super Earth,2021,3.01 Earths,1.547 x Earth,0.0525 AU,5 days,0.0,
2915,Neptune-like,2021,7.51 Earths,0.236 x Jupiter,0.2054 AU,31.3 days,0.0,
2916,Neptune-like,2021,5.13 Earths,2.117 x Earth,0.0516 AU,4.6 days,0.0,
2917,Super Earth,2021,3.02 Earths,1.549 x Earth,0.0571 AU,4.9 days,0.0,
2918,Neptune-like,2021,8.05 Earths,0.246 x Jupiter,0.0918 AU,9.8 days,0.0,
2919,Super Earth,2021,2.21 Earths,1.289 x Earth,0.0597 AU,6.1 days,0.0,
2920,Neptune-like,2021,6.75 Earths,0.222 x Jupiter,0.0394 AU,3 days,0.0,
2921,Super Earth,2021,1.01 Earths,1.01 x Earth,0.0711 AU,7 days,0.0,
2922,Super Earth,2021,1.09 Earths,1.033 x Earth,0.1022 AU,15.6 days,0.0,
2923,Neptune-like,2021,5.56 Earths,2.22 x Earth,0.0352 AU,2.2 days,0.0,
2924,Super Earth,2014,2.89 Earths,1.51 x Earth,0.032 AU,2.1 days,0.0,
2925,Neptune-like,2014,7.22 Earths,0.231 x Jupiter,0.131 AU,17.3 days,0.0,
2926,Neptune-like,2014,6.35 Earths,0.214 x Jupiter,0.275 AU,52.8 days,0.0,
2927,Super Earth,2021,2.95 Earths,1.527 x Earth,0.0871 AU,10.8 days,0.0,
2928,Neptune-like,2021,6 Earths,0.207 x Jupiter,0.1435 AU,20.7 days,0.0,
2929,Super Earth,2021,2.07 Earths,1.239 x Earth,0.1724 AU,27.2 days,0.0,
2930,Super Earth,2021,2.2 Earths,1.286 x Earth,0.0607 AU,6.2 days,0.0,
2931,Super Earth,2021,3.9 Earths,1.802 x Earth,0.0625 AU,5.9 days,0.0,
2932,Super Earth,2021,1.69 Earths,1.167 x Earth,0.117 AU,14.3 days,0.0,
2933,Super Earth,2021,1.32 Earths,1.089 x Earth,0.0563 AU,5.9 days,0.0,
2934,Terrestrial,2021,0.79 Earths,0.944 x Earth,0.0299 AU,2.2 days,0.0,
2935,Super Earth,2021,4.86 Earths,2.051 x Earth,0.0856 AU,9.3 days,0.0,
